Date,Open,Close,High,Low,Adj Close,Volume
2016/12/22,221.509995,217.100006,221.899994,216.149994,214.935715,778600
2016/12/23,216,223.669998,224.929993,216,221.440216,857200
2016/12/27,224.5,223.990005,228.800003,223.509995,221.757019,562000
2016/12/28,226.570007,223.919998,228.479996,223.130005,221.687729,546800
2016/12/29,224.320007,223,224.940002,221.679993,220.776901,441200
2016/12/30,222.550003,215.339996,223,214.75,213.193253,677000
2017/1/3,219.380005,218.160004,220.300003,215.630005,215.985138,797600
2017/1/4,220,218.699997,221.190002,216.889999,216.51976,1119700
2017/1/5,219.850006,229.210007,230.710007,219.800003,226.925003,2168400
2017/1/6,229.419998,226.960007,230.25,225.270004,224.697418,782400
2017/1/9,227.809998,234.899994,236.490005,227.460007,232.558258,1133100
2017/1/10,237.949997,239.979996,243.970001,236.610001,237.587616,1233700
2017/1/11,237.449997,239.270004,241.75,235.630005,236.884705,664900
2017/1/12,238.899994,235.429993,239.149994,232.139999,233.082977,954300
2017/1/13,236.789993,237.679993,239.490005,233.619995,235.310547,686400
2017/1/17,239.470001,243.080002,243.960007,235.710007,240.656723,1171800
2017/1/18,241.630005,235.779999,243.949997,233.5,233.429489,1207700
2017/1/19,236.309998,238.979996,240.389999,236.080002,236.59758,637500
2017/1/20,239.210007,242.339996,244.399994,239.210007,239.924088,961100
2017/1/23,242.089996,248.589996,250.110001,242.009995,246.111801,1096200
2017/1/24,252.990005,254.449997,257.679993,248.699997,251.913361,1307100
2017/1/25,255.990005,251.589996,256,250.710007,249.081894,683100
2017/1/26,252,251.940002,252.460007,245.830002,249.428391,818500
2017/1/27,251.300003,252.889999,253.169998,249.279999,250.368927,355000
2017/1/30,250.360001,250.490005,251.860001,248.289993,247.992859,399500
2017/1/31,249.600006,253.899994,254.089996,248.320007,251.368851,453700
2017/2/1,256.390015,253.820007,256.76001,250.850006,251.289658,670100
2017/2/2,252.399994,255.990005,256.309998,250.139999,253.438034,682200
2017/2/3,256.859985,255,257,253.669998,252.457901,565900
2017/2/6,254.25,258.670013,263.329987,253.009995,256.091309,1091000
2017/2/7,260.040009,258.029999,260.820007,255.509995,255.457687,671700
2017/2/8,259.269989,265.519989,266.149994,258.230011,262.872986,1237800
2017/2/9,261.410004,257.559998,265.839996,256.679993,254.992371,2341500
2017/2/10,261.230011,257.420013,261.429993,256.190002,254.85379,1397100
2017/2/13,258.779999,260.779999,261.660004,252.550003,258.180237,1127400
2017/2/14,260.549988,256.119995,261.290009,254,253.566711,1094100
2017/2/15,258.98999,261.850006,263.049988,256.209991,259.239594,1239600
2017/2/16,283.390015,298.730011,299.679993,278.799988,295.751953,3737300
2017/2/17,295.73999,297.25,297.929993,289.380005,294.286682,1960200
2017/2/21,296.299988,293.440002,297.5,290.019989,290.514679,1264500
2017/2/22,293.540009,304.070007,307.790009,292.160004,301.038727,2242200
2017/2/23,305,298.98999,305.420013,287.51001,296.009338,2423400
2017/2/24,297,299.929993,306.619995,295.609985,296.939972,1727100
2017/2/27,297.559998,301.76001,306.790009,297.51001,298.75177,1055300
2017/2/28,302.920013,305.059998,308.5,302.01001,302.01886,1163800
2017/3/1,307.519989,302.579987,308.660004,296.209991,300.558655,1451400
2017/3/2,298.5,289.380005,300,284.5,287.446838,2312600
2017/3/3,288.5,293.470001,294.73999,287.200012,291.509521,1028600
2017/3/6,294,292.279999,294.049988,287.26001,290.327454,902000
2017/3/7,290.709991,292.079987,294.5,289.059998,290.128784,905100
2017/3/8,294.600006,291.440002,296.5,290.790009,289.493073,850100
2017/3/9,290,291.269989,292.410004,288.579987,289.324188,745500
2017/3/10,291.299988,289.399994,291.619995,288,287.466675,678300
2017/3/13,290.950012,289.850006,290.98999,285.880005,287.913696,996500
2017/3/14,286.600006,289.440002,289.950012,286.130005,287.506439,744600
2017/3/15,288.959991,286.859985,289.429993,284.410004,284.943665,808400
2017/3/16,288.399994,283.269989,288.440002,282.920013,281.377655,879500
2017/3/17,286.170013,291.5,292,285.01001,289.552673,1373200
2017/3/20,291.5,294.119995,296.75,291.049988,292.155151,1295000
2017/3/21,295.950012,282.670013,298.390015,281.640015,280.781647,1143600
2017/3/22,283.649994,286.190002,287.839996,280.309998,284.278137,1083400
2017/3/23,286.570007,286.269989,290.200012,284.359985,284.357574,946500
2017/3/24,287.079987,288.980011,290.880005,285.970001,287.0495,878300
2017/3/27,285.559998,289.25,292.630005,285.040009,287.317719,880500
2017/3/28,291.75,289.350006,292.809998,288.869995,287.417023,675900
